,FinalElecCode2012,Demand_Name2025,Elevation,HouseHolds,LCOE_SHS2025,LCOE_MG_Hybrid_LowLands2025,LCOE_MG_Hybrid_HighLands2025,LCOE_Grid2025,MinimumOverall2025,MinimumOverallLCOE2025,NewConnections2025,PVcapacity2025,GenSetcapacity2025,Batterycapacity2025,NewCapacity2025,NPC2025,InvestmentCapita2025,InvestmentCost2025,MinGridDist2025,Pop2025,ElecPopCalib,X_deg,Y_deg
0,SA_PV2012,SHS,1164,34.493450735268624,0.36,99.0,99.0,99.0,SHS2025,0.36,117.936356,15.866987,0.0,41.392140000000005,57.259130000000006,56327.805,387.82202,45738.316,0.0,163.06857,45.132220000000004,-68.96512,-13.969403
1,Non,SHS,408,26.90402723010955,0.36,99.0,99.0,99.0,SHS2025,0.36,91.987404,12.375853,0.0,32.284832,44.660686,43934.277,387.82202,35674.74,0.0,91.987404,0.0,-63.471676,-21.301607
3,SA_PV2012,SHS,661,6.525529436354329,0.36,99.0,99.0,99.0,SHS2025,0.36,22.3114,3.0017436,0.0,7.8306355,10.832379,10656.188999999998,387.82202,8652.851999999999,0.0,29.268719,6.9573193,-63.73701,-21.042417999999998
5,MG_Diesel2012,SHS,477,16.194829051470258,0.36,99.0,99.0,99.0,SHS2025,0.36,55.371643000000006,7.4496210000000005,0.0,19.433794,26.883416999999998,26446.156000000003,387.82202,21474.343999999997,0.0,204.88103,149.50938,-64.421486,-22.647942999999998
9,SA_PV2012,SHS,297,20.011818822223,0.36,99.0,99.0,99.0,SHS2025,0.36,68.42229499999999,9.205437,0.0,24.014183,33.21962,32679.3,387.82202,26535.672000000002,0.0,117.074875,48.65258,-62.833133999999994,-21.891853
12,MG_Diesel2012,SHS,850,14.36968172937232,0.36,99.0,99.0,99.0,SHS2025,0.36,49.131294,6.6100535,0.0,17.243617999999998,23.853672,23465.69,387.82202,19054.197,0.0,188.15605,139.02475,-64.49251600000001,-22.305403
17,MG_Diesel2012,SHS,1299,24.215699485686102,0.36,99.0,99.0,99.0,SHS2025,0.36,82.79575,11.139222,0.0,29.058840000000004,40.198063,39544.24,387.82202,32110.017999999996,0.0,263.41846,180.62271,-64.17699999999999,-21.544945000000002
18,SA_PV2012,SHS,335,34.8870086747117,0.36,99.0,99.0,99.0,SHS2025,0.36,119.28197,16.048023,0.0,41.86441,57.912434,56970.484000000004,387.82202,46260.17,0.0,192.3373,73.05533,-62.905080000000005,-16.29768
19,SA_Diesel2012,SHS,312,0.20650530255819846,0.36,99.0,99.0,99.0,SHS2025,0.36,0.70606107,0.09499244,0.0,0.24780637,0.34279879999999996,337.22314,387.82202,273.82602,0.0,4.1812453000000005,3.4751844,-61.9135,-16.963642
20,SA_Diesel2012,SHS,234,1.4294156311197752,0.36,99.0,99.0,99.0,SHS2025,0.36,4.8873067,0.6575312,0.0,1.7152988,2.37283,2334.2358,387.82202,1895.4052,0.0,8.362491,3.4751844,-63.228244999999994,-16.935513
21,Non,SHS,341,14.674923941569025,0.36,99.0,99.0,99.0,SHS2025,0.36,50.174946000000006,6.750464999999999,0.0,17.60991,24.360374,23964.15,387.82202,19458.95,0.0,50.174946000000006,0.0,-59.928093000000004,-18.071005
22,SA_PV2012,SHS,237,1.8424262353587468,0.36,99.0,99.0,99.0,SHS2025,0.36,6.2994285,0.84751606,0.0,2.2109115000000004,3.0584276000000004,3008.6821,387.82202,2443.0571,0.0,16.724981,10.425553,-64.28753,-17.074953
23,Non,SHS,220,20.78947558730166,0.36,99.0,99.0,99.0,SHS2025,0.36,71.08117,9.563158999999999,0.0,24.947370000000003,34.510529999999996,33949.215,387.82202,27566.843999999997,0.0,71.08117,0.0,-63.302017000000006,-16.343431
24,MG_Diesel2012,SHS,233,0.20650530255819846,0.36,99.0,99.0,99.0,SHS2025,0.36,0.70606107,0.09499244,0.0,0.24780637,0.34279879999999996,337.22314,387.82202,273.82602,0.0,4.1812453000000005,3.4751844,-62.988197,-16.428099
26,SA_Diesel2012,SHS,439,0.20650530255819846,0.36,99.0,99.0,99.0,SHS2025,0.36,0.70606107,0.09499244,0.0,0.24780637,0.34279879999999996,337.22314,387.82202,273.82602,0.0,4.1812453000000005,3.4751844,-62.39545,-16.135353
27,Non,SHS,236,40.356040829078175,0.36,99.0,99.0,99.0,SHS2025,0.36,137.9811,18.563778,0.0,48.42725,66.99103000000001,65901.414,387.82202,53512.11,0.0,137.9811,0.0,-64.167534,-16.687864
28,SA_PV2012,SHS,173,2.653342365466329,0.36,99.0,99.0,99.0,SHS2025,0.36,9.072027,1.2205375,0.0,3.1840107000000004,4.404548,4332.907999999999,387.82202,3518.3320000000003,0.0,12.543736,3.4717093,-58.06746,-18.09284
31,Non,SHS,237,1.2229103285615772,0.36,99.0,99.0,99.0,SHS2025,0.36,4.1812453000000005,0.56253874,0.0,1.4674923,2.0300312,1997.0126,387.82202,1621.5791,0.0,4.1812453000000005,0.0,-63.206398,-16.884434
32,SA_PV2012,SHS,781,10.810727116453377,0.36,99.0,99.0,99.0,SHS2025,0.36,36.962894,4.9729342,0.0,12.972873,17.945807000000002,17653.918,387.82202,14335.024,0.0,54.356190000000005,17.393297,-63.50851,-18.089447
33,SA_PV2012,SHS,1528,0.6195159073821203,0.36,99.0,99.0,99.0,SHS2025,0.36,2.1181831,0.28497732,0.0,0.7434191,1.0283964,1011.6695,387.82202,821.4781,0.0,12.543736,10.425553,-63.81914499999999,-18.361855
34,SA_Diesel2012,SHS,155,18.805029989808236,0.36,99.0,99.0,99.0,SHS2025,0.36,64.296165,8.650313,0.0,22.566035999999997,31.21635,30708.612999999998,387.82202,24935.47,0.0,133.79985,69.503685,-58.632045999999995,-18.821346
35,SA_PV2012,SHS,596,5.508108005150924,0.36,99.0,99.0,99.0,SHS2025,0.36,18.832739,2.5337297999999997,0.0,6.60973,9.143459,8994.74,387.82202,7303.751,0.0,29.268719,10.435979,-63.371959999999994,-18.019243
